date,video_id,title,published_at,duration,total_views,daily_views,like_count,comment_count,category_id,live_broadcast_content,privacy_status,upload_status,tags
2026-06-23,slUhVTAznMo,Taylor Swift - The Life of a Showgirl (feat. Sabrina Carpenter) (Visualizer),2025-10-03T04:01:10Z,PT4M6S,13729615,,238053,11040,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,rc6NKSVv2fw,Taylor Swift - Eldest Daughter (Visualizer),2025-10-03T04:01:08Z,PT4M11S,6270541,,115148,4837,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,mC54kTYa9oI,Taylor Swift - Wi$h Li$t (Visualizer),2025-10-03T04:01:05Z,PT3M32S,10376715,,116265,6082,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,erilCNjng-g,Taylor Swift - Wood (Visualizer),2025-10-03T04:00:47Z,PT2M35S,5471805,,86316,4622,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,RId6LV1wtQY,Taylor Swift - Ruin the Friendship (Visualizer),2025-10-03T04:00:37Z,PT3M45S,5841335,,90806,3565,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,ShsfUTynzQU,Taylor Swift - Actually Romantic (Visualizer),2025-10-03T04:00:37Z,PT2M48S,8138244,,111681,8172,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,Ij6SgmK8KGQ,Taylor Swift - CANCELLED! (Visualizer),2025-10-03T04:00:24Z,PT3M36S,7754565,,110321,7269,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,9Sx8MWI8qTU,Taylor Swift - Honey (Visualizer),2025-10-03T04:00:11Z,PT3M6S,5220966,,89265,4027,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,4FUIEcnvT04,Taylor Swift - Opalite (Visualizer),2025-10-03T04:00:06Z,PT3M59S,32806021,,235823,9431,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
2026-06-23,4Mg_Qtr6Osg,Taylor Swift - Elizabeth Taylor (Visualizer),2025-10-03T04:00:06Z,PT3M32S,11529497,,136495,5942,10,none,public,processed,"[""Taylor swift"", ""taylor"", ""swift"", ""taylor swift TLOAS"", ""TS12"", ""Showgirl"", ""The Life of a Showgirl"", ""new taylor swift"", ""taylor swift album""]"
