date,week_start,rank,track_id,title,weekly_streams,units_am,units_spotify,units_charts,units_surplus,total_units,streams_pct,airplay_pct,sales_pct,bonus_points,points,global_best_rank,am_ts_score,am_global_score,prev_rank,prev_points,rank_change,percentage_change,weeks_on_chart,peak_position,times_at_peak
2026-04-03,2026-03-28,1,53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,25269846,3261959,25219595,25102343,167503,28481554,88.5,11.5,0,0,2076.1,11,2797.3,464.66,1,844.46,0,-0.25223219572270983,1,1,1
2026-04-03,2026-03-28,2,3yWuTOYDztXjZxdE2cIRUa,Opalite,13204434,2203724,13162614,13065034,139400,15366338,85.7,14.3,0,0,1120.1,63,1986.51,217.22,2,449.84,0,-2.154099235283656,1,2,1
2026-04-03,2026-03-28,3,0ug5NqcwcFR2xrfTkc7k8e,Style,9121534,445938,9112592,9091728,29806,9558530,95.3,4.7,0,0,696.8,148,445.94,0.0,3,296.17,0,2.660634095283113,1,3,1
2026-04-03,2026-03-28,4,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,8111781,1201840,5678247,0,8111781,6880087,82.5,17.5,0,0,501.5,,1201.84,0.0,4,274.33,0,-1.4362264426056202,1,4,1
2026-04-03,2026-03-28,5,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,7071866,557188,4950306,0,7071866,5507494,89.9,10.1,0,0,401.5,,557.19,0.0,5,235.08,0,0.27650161647097893,1,5,1
2026-04-03,2026-03-28,6,3AKV7Mvo2Mx4tb39iPvPlT,Elizabeth Taylor,5711678,901943,4442145,1479902,4231776,5344088,83.1,16.9,0,0,389.6,115,901.94,0.0,9,116.81,3,62.991182261792645,1,6,1
2026-04-03,2026-03-28,7,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,5552643,833767,3886850,0,5552643,4720617,82.3,17.7,0,0,344.1,,833.77,0.0,6,178.46,-1,3.7151182337778748,1,7,1
2026-04-03,2026-03-28,8,1dGr1c8CrMLDpV6mPbImSI,Lover,4679398,678483,3275579,0,4679398,3954062,82.8,17.2,0,0,288.2,,678.48,0.0,7,155.9,-1,0.051314945477860224,1,8,1
2026-04-03,2026-03-28,9,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),4559411,980109,3191588,0,4559411,4171697,76.5,23.5,0,0,304.1,,980.11,0.0,8,148.4,-1,2.412398921832873,1,9,1
2026-04-03,2026-03-28,10,2y5aJvzXhHPA94U5GFAcXe,I Don't Wanna Live Forever (Fifty Shades Darker),3957774,333538,2770442,0,3957774,3103980,89.3,10.7,0,0,226.3,,333.54,0.0,16,103.35,6,27.653604257377857,1,10,1
2026-04-03,2026-03-28,11,6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor's Version),3486931,237201,2440852,0,3486931,2678053,91.1,8.9,0,0,195.2,,237.2,0.0,11,112.72,0,3.113910574875803,1,11,1
2026-04-03,2026-03-28,12,4A4A6dwl5DqdqrZaEtKGPR,Wildest Dreams,3379820,227919,2365874,0,3379820,2593793,91.2,8.8,0,0,189.1,,227.92,0.0,12,112.28,0,0.33843961524759125,1,12,1
2026-04-03,2026-03-28,13,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),3358983,243289,2351288,0,3358983,2594577,90.6,9.4,0,0,189.1,,243.29,0.0,10,115.23,-3,-2.829124359975705,1,13,1
2026-04-03,2026-03-28,14,72jCZdH0Lhg93z6Z4hBjgj,I Knew You Were Trouble.,3322475,583014,2325732,0,3322475,2908746,80.0,20.0,0,0,212.0,,583.01,0.0,13,110.06,-1,0.6269307650372503,1,14,1
2026-04-03,2026-03-28,15,4R2kfaDFhslZEMJqAFNpdd,cardigan,3314823,415931,2320376,0,3314823,2736307,84.8,15.2,0,0,199.5,,415.93,0.0,,,,,1,15,1
2026-04-03,2026-03-28,16,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor's Version),3298380,206112,2308866,0,3298380,2514978,91.8,8.2,0,0,183.3,,206.11,0.0,15,108.7,-1,1.1499540018399264,1,16,1
2026-04-03,2026-03-28,17,1R0a2iXumgCiFb7HEZ7gUE,Don't Blame Me,3246122,330921,2272285,0,3246122,2603206,87.3,12.7,0,0,189.8,,330.92,0.0,14,109.56,-3,-1.241328952172325,1,17,1
2026-04-03,2026-03-28,18,0W0iAC1VGlB82PI6elxFYf,Guilty as Sin?,3161090,122857,2212763,0,3161090,2335620,94.7,5.3,0,0,170.3,,122.86,0.0,21,96.35,3,9.361702127659585,1,18,1
2026-04-03,2026-03-28,19,6oVxXO5oQ4pTpO8RSnkzvv,Dress,3068924,163870,2148247,0,3068924,2312117,92.9,7.1,0,0,168.5,,163.87,0.0,17,102.7,-2,-0.38948393378773677,1,19,1
2026-04-03,2026-03-28,20,6NFyWDv5CjfwuzoCkw47Xf,Delicate,2971296,281219,2079907,0,2971296,2361126,88.1,11.9,0,0,172.1,,281.22,0.0,18,98.86,-2,0.1820756625531123,1,20,1
2026-04-03,2026-03-28,21,03bTIHJElXZ0O0jqOQvAbY,Father Figure,2957493,318237,2070245,0,2957493,2388482,86.7,13.3,0,0,174.1,,318.24,0.0,19,98.77,-2,-0.19236610306773083,1,21,1
2026-04-03,2026-03-28,22,1fzAuUVbzlhZ1lJAx9PtY6,Daylight,2898880,149515,2029216,0,2898880,2178731,93.1,6.9,0,0,158.8,,149.52,0.0,24,92.12,2,4.895788102475023,1,22,1
2026-04-03,2026-03-28,23,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,2816117,242959,1971282,0,2816117,2214241,89.0,11.0,0,0,161.4,,242.96,0.0,20,96.91,-3,-3.136931173253526,1,23,1
2026-04-03,2026-03-28,24,5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl (feat. Sabrina Carpenter),2796721,355806,1957705,0,2796721,2313511,84.6,15.4,0,0,168.6,,355.81,0.0,22,94.73,-2,-1.5940040114008287,1,24,1
2026-04-03,2026-03-28,25,2TEQvxxQabwLQMqWMg1qGu,Wi$h Li$t,2796211,238822,1957348,0,2796211,2196170,89.1,10.9,0,0,160.1,,238.82,0.0,23,93.35,-2,-0.1499732190680242,1,25,1
2026-04-03,2026-03-28,26,4dgf2DYVJbtmy8zAYLs4c7,I Can Do It With a Broken Heart,2582947,317929,1808063,0,2582947,2125992,85.0,15.0,0,0,155.0,,317.93,0.0,25,84.35,-1,2.074688796680498,1,26,1
