artist_id,artist_name,gender,type
59FrDXDVJz0EKqYg39dnT2,Jão,NF,solo
6LuN9FCkKOj5PcnpouEgny,Khalid,NF,solo
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,NF,solo
12vb80Km0Ew53ABfJOepVz,Ñengo Flow,NF,solo
4boI7bJtmB1L3b1cuL75Zr,Mon Laferte,F,solo
2kCcBybjl3SAtIcwdWpUe3,Lil Peep,NF,solo
2sSGPbdZJkaSE2AbcGOACx,The Marías,NF,GROUP
09UmIX92EUH9hAK4bxvHx6,Mithoon,NF,solo
1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,NF,GROUP
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,NF,solo
2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,NF,solo
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,NF,solo
7mW7Tv7NvywKKXqafZo0Lc,KPop Demon Hunters Cast,NF,GROUP
3SozjO3Lat463tQICI9LcE,Tyla,F,solo
6Mv8GjQa7LKUGCAqa9qqdb,Vishal-Shekhar,NF,GROUP
4SsVbpTthjScTS7U2hmr1X,Arcángel,NF,solo
2pGRniGOJSOvYoK3dGaBb8,Sayeed Quadri,NF,solo
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,F,solo
6Ghvu1VvMGScGpOUJBAHNH,Deftones,NF,GROUP
7okwEbXzyT2VffBmyQBWLz,Maná,NF,GROUP
5KKpBU5eC2tJDzf0wmlRp2,RAYE,F,solo
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,NF,GROUP
3AA28KZvwAUcZuOKwyblJQ,Gorillaz,NF,GROUP
2IMZYfNi21MGqxopj9fWx8,Rels B,NF,solo
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,NF,GROUP
78rUTD7y6Cy67W1RVzYs7t,PinkPantheress,F,solo
26VFTg2z8YR0cCuwLzESi2,Halsey,F,solo
22wbnEMDvgVIAGdFeek6ET,Benson Boone,NF,solo
5H1nN1SzW0qNeUEZvuXjAj,Danny Ocean,NF,solo
1bpnl8qbR9GxmiNlkEufW6,DJ Japa NK,NF,solo
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,NF,GROUP
3nFkdlSjzX9mRTtwJOzDYB,JAŸ-Z,NF,solo
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,F,solo
687cZJR45JO7jhk1LHIbgq,Tems,F,solo
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,NF,solo
2cPqdH7XMvwaBJEVjheH8g,Jay Wheeler,NF,solo
55Wn8tf8dBvfl1HRsD7Kze,Continental,NF,GROUP
487N2T9nIPEHrlTZLL3SQs,Zé Neto & Cristiano,NF,GROUP
3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,NF,GROUP
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,NF,GROUP
0Q8NcsJwoCbZOHHW63su5S,Mora,NF,solo
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,NF,solo
64KEffDW9EtZ1y2vBYgq8T,Marshmello,NF,solo
2q9wk5fkeU2C9CgCKdh4AN,Mc IG,NF,solo
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,NF,solo
0Y6dVaC9DZtPNH4591M42W,TV Girl,NF,GROUP
6TKygPpVT29oGUogu4J9Ec,Yan Block,NF,solo
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,NF,GROUP
