date,token,saved_at
2021-04-04,rate_limit,429,deferred; slept 15.0s,1775524826
2021-04-05,rate_limit,429,deferred; slept 15.0s,1775524842
2021-04-06,rate_limit,429,deferred; slept 15.0s,1775524857
2021-04-07,rate_limit,429,deferred; slept 15.0s,1775524872
2021-05-13,rate_limit,429,deferred; slept 15.0s,1775524901
2021-05-14,rate_limit,429,deferred; slept 15.0s,1775524916
2021-05-15,rate_limit,429,deferred; slept 15.0s,1775524931
2021-05-16,rate_limit,429,deferred; slept 15.0s,1775524946
2021-05-17,rate_limit,429,deferred; slept 15.0s,1775524962
2021-05-18,rate_limit,429,deferred; slept 15.0s,1775524977
2021-05-19,rate_limit,429,deferred; slept 15.0s,1775524992
2021-06-25,rate_limit,429,deferred; slept 15.0s,1775525020
2021-06-26,rate_limit,429,deferred; slept 15.0s,1775525036
2021-06-27,rate_limit,429,deferred; slept 15.0s,1775525051
2021-06-28,rate_limit,429,deferred; slept 15.0s,1775525066
2021-06-29,rate_limit,429,deferred; slept 15.0s,1775525081
2021-06-30,rate_limit,429,deferred; slept 15.0s,1775525097
2021-07-01,rate_limit,429,deferred; slept 15.0s,1775525112
2021-08-08,rate_limit,429,deferred; slept 15.0s,1775525141
2021-08-09,rate_limit,429,deferred; slept 15.0s,1775525156
2021-08-10,rate_limit,429,deferred; slept 15.0s,1775525171
2021-08-11,rate_limit,429,deferred; slept 15.0s,1775525187
2021-08-12,rate_limit,429,deferred; slept 15.0s,1775525202
2021-08-13,rate_limit,429,deferred; slept 15.0s,1775525217
2021-08-14,rate_limit,429,deferred; slept 15.0s,1775525232
2021-09-22,rate_limit,429,deferred; slept 15.0s,1775525262
2021-09-23,rate_limit,429,deferred; slept 15.0s,1775525277
2021-09-24,rate_limit,429,deferred; slept 15.0s,1775525292
2021-09-25,rate_limit,429,deferred; slept 15.0s,1775525307
2021-09-26,rate_limit,429,deferred; slept 15.0s,1775525323
2021-09-27,rate_limit,429,deferred; slept 15.0s,1775525338
2021-09-28,rate_limit,429,deferred; slept 15.0s,1775525353
2021-10-02,rate_limit,429,deferred; slept 15.0s,1775525369
2021-10-03,rate_limit,429,deferred; slept 15.0s,1775525385
2021-10-04,rate_limit,429,deferred; slept 15.0s,1775525400
2021-10-05,rate_limit,429,deferred; slept 15.0s,1775525415
2021-10-06,rate_limit,429,deferred; slept 15.0s,1775525430
2021-10-07,rate_limit,429,deferred; slept 15.0s,1775525446
2021-10-08,rate_limit,429,deferred; slept 15.0s,1775525461
2021-11-14,rate_limit,429,deferred; slept 15.0s,1775525489
