pop_rank,rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,pop_total_days
12,12,loml,Taylor Swift,825193,,12,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; sad; piano; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,,0
14,14,The Smallest Man Who Ever Lived,Taylor Swift,797509,,14,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,True,THE TORTURED POETS DEPARTMENT,,,,0
15,15,I Can Fix Him (No Really I Can),Taylor Swift,777364,,15,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,singer-songwriter; pop; love at first listen; sexy; soty,True,THE TORTURED POETS DEPARTMENT,,,,0
16,16,The Alchemy,Taylor Swift,715147,,16,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,,0
17,17,Clara Bow,Taylor Swift,664903,,17,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; chatgpt; colleen hoover; taylor swift,True,THE TORTURED POETS DEPARTMENT,,,,0
20,21,The Black Dog,Taylor Swift,496511,,21,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; soty; best of 2024; singer-songwriter; love at first listen,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
21,22,imgonnagetyouback,Taylor Swift,475257,,22,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; singer-songwriter; female vocalists; synthpop; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
23,24,thanK you aIMee,Taylor Swift,462569,,24,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,folk; female vocalist; pop; singer-songwriter; folk pop,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
24,25,The Albatross,Taylor Swift,432609,,25,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,singer-songwriter; folk; pop; best of 2024; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
25,26,So High School,Taylor Swift,422412,,26,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b,pop; rock; pop rock; singer-songwriter; indie rock,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
26,27,Chloe or Sam or Sophia or Marcus,Taylor Swift,419000,,27,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b,pop; singer-songwriter; folk pop; folk; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
28,31,I Hate It Here,Taylor Swift,376574,,31,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,folk; pop; singer-songwriter; poetic; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
29,33,The Prophecy,Taylor Swift,360725,,33,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,singer-songwriter; folk; pop; ai; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
30,34,I Look in People's Windows,Taylor Swift,352925,,34,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; folk; singer-songwriter; ai; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
32,36,Cassandra,Taylor Swift,326669,,36,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; folk; singer-songwriter; female vocalists; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
33,37,Peter,Taylor Swift,319576,,37,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,ballad; folk; pop; peter pan; love at first listen,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
35,41,The Bolter,Taylor Swift,305987,,41,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; best of 2024; folk; country; singer-songwriter,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
36,42,The Manuscript,Taylor Swift,293558,,42,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,chatgpt; pop; singer-songwriter; ballad; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,,0
39,46,Robin,Taylor Swift,275322,,46,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,singer-songwriter; pop; indie; folk; not poetry,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,,0
40,48,Cruel Summer,Taylor Swift,258339,18.0,3,391,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,electropop; pop; synthpop; industrial pop; pop perfection,True,Lover,,,11.0,0
63,133,august,Taylor Swift,103747,164.0,12,2,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,dream pop; folk; folk pop; indie pop; indie folk,True,folklore: the long pond studio sessions (from the Disney+ special),,,56.0,0
75,169,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,91860,142.0,1,116,https://i.scdn.co/image/ab67616d00001e02904445d70d04eb24d6bb79ac,pop; synthpop; synthwave; electropop; break-up,True,1989 (Taylor’s Version) (Deluxe),,,47.0,0
91,193,Lover,Taylor Swift,86011,,7,1,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647,pop; country; indie folk; love; country pop,True,You Belong With Me,,,,0
