title,track_id,spotify_url,status
Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,https://open.spotify.com/track/1rmEsOezwf2lmIZTMAO5Ag,error
King Of My Heart,7HuBDWi18s4aJM8UFnNheH,https://open.spotify.com/track/7HuBDWi18s4aJM8UFnNheH,error
22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP,error
Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2,error
The Great War,2VuqMjgoKaOHNM8HpxtXKx,https://open.spotify.com/track/2VuqMjgoKaOHNM8HpxtXKx,error
Renegade,73W5aXorr5vxrySFcoZqIN,https://open.spotify.com/track/73W5aXorr5vxrySFcoZqIN,error
The Bolter,2913xXOVAIDAqxzV2g4VcU,https://open.spotify.com/track/2913xXOVAIDAqxzV2g4VcU,error
I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP,error
seven,6KJqZcs9XDgVck7Lg9QOTC,https://open.spotify.com/track/6KJqZcs9XDgVck7Lg9QOTC,error
seven,2vJ7QvyCiR4DaHxwO58izA,https://open.spotify.com/track/2vJ7QvyCiR4DaHxwO58izA,error
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),7qEUFOVcxRI19tbT68JcYK,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK,error
Hits Different,3xYJScVfxByb61dYHTwiby,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby,error
Better Than Revenge,1By2VQkUN0Frd8mKNV5NYC,https://open.spotify.com/track/1By2VQkUN0Frd8mKNV5NYC,error
Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D,error
All Of The Girls You Loved Before,4P9Q0GojKVXpRTJCaL3kyy,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy,error
All Of The Girls You Loved Before,17yraMKqmZIKAv3iaGcoLX,https://open.spotify.com/track/17yraMKqmZIKAv3iaGcoLX,error
I Hate It Here,3hlGuz3loYoLfI3bpwieWq,https://open.spotify.com/track/3hlGuz3loYoLfI3bpwieWq,error
"Would've, Could've, Should've",4txojlesMFQZGWxwz2EeqB,https://open.spotify.com/track/4txojlesMFQZGWxwz2EeqB,error
Shake It Off (Taylor's Version),3pv7Q5v2dpdefwdWIvE7yH,https://open.spotify.com/track/3pv7Q5v2dpdefwdWIvE7yH,error
Sweet Nothing,2L09RYwH5Pjzca6PmbUAw3,https://open.spotify.com/track/2L09RYwH5Pjzca6PmbUAw3,error
Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,https://open.spotify.com/track/1xwAWUI6Dj0WGC3KiUPN0O,error
Mine (Taylor's Version),7G0gBu6nLdhFDPRLc0HdDG,https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG,error
Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h,error
The Fate of Ophelia - Loud Luxury Remix,6PlBKImSl4AZoxBU7F649D,https://open.spotify.com/track/6PlBKImSl4AZoxBU7F649D,error
Welcome To New York,3nRmDz7qGCvsMS30rGGY0x,https://open.spotify.com/track/3nRmDz7qGCvsMS30rGGY0x,error
marjorie,12ntTeqEeTg7GAVpe8Mhpl,https://open.spotify.com/track/12ntTeqEeTg7GAVpe8Mhpl,error
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),01K4zKU104LyJ8gMb7227B,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,error
Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,https://open.spotify.com/track/4hqJ4bSlYJOXb6Z4SRmzxs,error
Say Don't Go (Taylor's Version) (From The Vault),3CCRVu4F91Qp2mnGjmWBrf,https://open.spotify.com/track/3CCRVu4F91Qp2mnGjmWBrf,error
betty,5kI4eCXXzyuIUXjQra0Cxi,https://open.spotify.com/track/5kI4eCXXzyuIUXjQra0Cxi,error
Begin Again (Taylor's Version),05GsNucq8Bngd9fnd4fRa0,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0,error
evermore (feat. Bon Iver),3O5osWf1rSoKMwe6E9ZaXP,https://open.spotify.com/track/3O5osWf1rSoKMwe6E9ZaXP,error
You Are In Love (Taylor's Version),0TyGh27YQ5LknmiDhCzJiT,https://open.spotify.com/track/0TyGh27YQ5LknmiDhCzJiT,error
I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL,error
Clean (Taylor's Version),0lKUBmEyQfzsQHozyeXzES,https://open.spotify.com/track/0lKUBmEyQfzsQHozyeXzES,error
I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN,error
Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz,https://open.spotify.com/track/7I7JbDv63ZJJsSi24DyJrz,error
I Can See You (Taylor's Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,https://open.spotify.com/track/5kHMfzgLZP95O9NBy0ku4v,error
I Can Fix Him (No Really I Can),5chnRTB9qMK3W1M41SnU9s,https://open.spotify.com/track/5chnRTB9qMK3W1M41SnU9s,error
Clara Bow,4d9PtIEVij9jW5OaLinH66,https://open.spotify.com/track/4d9PtIEVij9jW5OaLinH66,error
cowboy like me,1XjHRolIXL2M1EEOUsGGR4,https://open.spotify.com/track/1XjHRolIXL2M1EEOUsGGR4,error
New Romantics (Taylor's Version),5M787RexsAiVYjQusM98CV,https://open.spotify.com/track/5M787RexsAiVYjQusM98CV,error
dorothea,670fUmXf4KQekzbEgaXyPA,https://open.spotify.com/track/670fUmXf4KQekzbEgaXyPA,error
Out Of The Woods,0qUnBLZ8bJqUNEeQgayL9t,https://open.spotify.com/track/0qUnBLZ8bJqUNEeQgayL9t,error
I Think He Knows,2YWtcWi3a83pdEg3Gif4Pd,https://open.spotify.com/track/2YWtcWi3a83pdEg3Gif4Pd,error
