title,track_id,spotify_url,previous_streams,new_streams,delta,reason,raw
But Daddy I Love Him,74sZKiwaGtSEEyjhDmi99y,https://open.spotify.com/track/74sZKiwaGtSEEyjhDmi99y,371399881,371399881,0,same_total,371399881
You're Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4,https://open.spotify.com/track/3CWq0pAKKTWb0K4yiglDc4,381899421,381899421,0,same_total,381899421
Fresh Out The Slammer,3fO566xJgwxIa3qGCGBvIC,https://open.spotify.com/track/3fO566xJgwxIa3qGCGBvIC,251352786,251352786,0,same_total,251352786
Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC,883799308,883799308,0,same_total,883799308
Bejeweled,3qoftcUZaUOncvIYjFSPdE,https://open.spotify.com/track/3qoftcUZaUOncvIYjFSPdE,709021578,709021578,0,same_total,709021578
Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,https://open.spotify.com/track/45wMBGri1PORPjM9PwFfrS,363364506,363364506,0,same_total,363364506
The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,https://open.spotify.com/track/3NMrVbIVWT3fPXBj0rNDKG,328441983,328441983,0,same_total,328441983
Back To December,5l6GqSxplqnZbLg0LTPQeG,https://open.spotify.com/track/5l6GqSxplqnZbLg0LTPQeG,498810440,498810440,0,same_total,498810440
I Did Something Bad,4svZDCRz4cJoneBpjpx8DJ,https://open.spotify.com/track/4svZDCRz4cJoneBpjpx8DJ,576359359,576359359,0,same_total,576359359
Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,https://open.spotify.com/track/12M5uqx0ZuwkpLp5rJim1a,448217153,448217153,0,same_total,448217153
Afterglow,1SymEzIT3H8UZfibCs3TYi,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi,505854648,505854648,0,same_total,505854648
Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,https://open.spotify.com/track/6IG3sQ8s9nfk6TUlVzRhbN,580210205,580210205,0,same_total,580210205
This Love (Taylor's Version),4WBEj8TeGtRPNJdOmT3WJW,https://open.spotify.com/track/4WBEj8TeGtRPNJdOmT3WJW,368607864,368607864,0,same_total,368607864
End Game,2x0WlnmfG39ZuDmstl9xfX,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX,621491737,621491737,0,same_total,621491737
Gorgeous,1ZY1PqizIl78geGM4xWlEA,https://open.spotify.com/track/1ZY1PqizIl78geGM4xWlEA,737847408,737847408,0,same_total,737847408
Our Song,15DeqWWQB4dcEWzJg15VrN,https://open.spotify.com/track/15DeqWWQB4dcEWzJg15VrN,457866683,457866683,0,same_total,457866683
Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,https://open.spotify.com/track/5QUIK7ZtziW8kGWo8RqopF,429097333,429097333,0,same_total,429097333
Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot,291526304,291526304,0,same_total,291526304
We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs,477190398,477190398,0,same_total,477190398
ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,976098664,976098664,0,same_total,976098664
The Black Dog,62E2nR0od0M5HYxuYLaDz7,https://open.spotify.com/track/62E2nR0od0M5HYxuYLaDz7,211207150,211207150,0,same_total,211207150
Hits Different,3xYJScVfxByb61dYHTwiby,https://open.spotify.com/track/3xYJScVfxByb61dYHTwiby,284293754,284293754,0,same_total,284293754
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),7qEUFOVcxRI19tbT68JcYK,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK,231189921,231189921,0,same_total,231189921
How Did It End?,5Bedn0svl0ZD7RGmJkmKKw,https://open.spotify.com/track/5Bedn0svl0ZD7RGmJkmKKw,215394332,215394332,0,same_total,215394332
Mr. Perfectly Fine (Taylor's Version) (From The Vault),2CYVETnhM9aytqrazYYwrK,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK,469174114,469174114,0,same_total,469174114
Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j,282196808,282196808,0,same_total,282196808
The Bolter,2913xXOVAIDAqxzV2g4VcU,https://open.spotify.com/track/2913xXOVAIDAqxzV2g4VcU,161091313,161091313,0,same_total,161091313
tolerate it,0PurA4JVJ8YQgSVopY8fn6,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,433531276,433531276,0,same_total,433531276
King Of My Heart,7HuBDWi18s4aJM8UFnNheH,https://open.spotify.com/track/7HuBDWi18s4aJM8UFnNheH,368646089,368646089,0,same_total,368646089
London Boy,1LLXZFeAHK9R4xUramtUKw,https://open.spotify.com/track/1LLXZFeAHK9R4xUramtUKw,432233775,432233775,0,same_total,432233775
Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,https://open.spotify.com/track/79uDOz0zuuWS7HWxzMmTa2,298797048,298797048,0,same_total,298797048
Mastermind,1QQii3pa5m8MEda0nbkjfw,https://open.spotify.com/track/1QQii3pa5m8MEda0nbkjfw,457470523,457470523,0,same_total,457470523
Peter,3zMDGj4D8ogaYgAIZPeU7S,https://open.spotify.com/track/3zMDGj4D8ogaYgAIZPeU7S,169887409,169887409,0,same_total,169887409
The Great War,2VuqMjgoKaOHNM8HpxtXKx,https://open.spotify.com/track/2VuqMjgoKaOHNM8HpxtXKx,376049132,376049132,0,same_total,376049132
I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP,498345085,498345085,0,same_total,498345085
Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,https://open.spotify.com/track/1rmEsOezwf2lmIZTMAO5Ag,163737423,163737423,0,same_total,163737423
22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP,407976818,407976818,0,same_total,407976818
Better Than Revenge,1By2VQkUN0Frd8mKNV5NYC,https://open.spotify.com/track/1By2VQkUN0Frd8mKNV5NYC,247080680,247080680,0,same_total,247080680
All Of The Girls You Loved Before,4P9Q0GojKVXpRTJCaL3kyy,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy,477215844,477215844,0,same_total,477215844
22,2ULNeSomDxVNmdDy8VxEBU,https://open.spotify.com/track/2ULNeSomDxVNmdDy8VxEBU,461892462,461892462,0,same_total,461892462
I Hate It Here,3hlGuz3loYoLfI3bpwieWq,https://open.spotify.com/track/3hlGuz3loYoLfI3bpwieWq,173366045,173366045,0,same_total,173366045
Better Man (Taylor's Version) (From The Vault),4OmFmE0fzcMG6g0Y8p4eSD,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD,202045813,202045813,0,same_total,202045813
Sweet Nothing,2L09RYwH5Pjzca6PmbUAw3,https://open.spotify.com/track/2L09RYwH5Pjzca6PmbUAw3,367233080,367233080,0,same_total,367233080
The Fate of Ophelia - Loud Luxury Remix,6PlBKImSl4AZoxBU7F649D,https://open.spotify.com/track/6PlBKImSl4AZoxBU7F649D,22751610,22751610,0,same_total,22751610
Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,https://open.spotify.com/track/1xwAWUI6Dj0WGC3KiUPN0O,510595268,510595268,0,same_total,510595268
You Are In Love (Taylor's Version),0TyGh27YQ5LknmiDhCzJiT,https://open.spotify.com/track/0TyGh27YQ5LknmiDhCzJiT,160552602,160552602,0,same_total,160552602
Say Don't Go (Taylor's Version) (From The Vault),3CCRVu4F91Qp2mnGjmWBrf,https://open.spotify.com/track/3CCRVu4F91Qp2mnGjmWBrf,282707851,282707851,0,same_total,282707851
Shake It Off (Taylor's Version),3pv7Q5v2dpdefwdWIvE7yH,https://open.spotify.com/track/3pv7Q5v2dpdefwdWIvE7yH,225814780,225814780,0,same_total,225814780
Begin Again (Taylor's Version),05GsNucq8Bngd9fnd4fRa0,https://open.spotify.com/track/05GsNucq8Bngd9fnd4fRa0,163652054,163652054,0,same_total,163652054
"Would've, Could've, Should've",4txojlesMFQZGWxwz2EeqB,https://open.spotify.com/track/4txojlesMFQZGWxwz2EeqB,361284171,361284171,0,same_total,361284171
Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,https://open.spotify.com/track/2dgFqt3w9xIQRjhPtwNk3D,370456932,370456932,0,same_total,370456932
Mine (Taylor's Version),7G0gBu6nLdhFDPRLc0HdDG,https://open.spotify.com/track/7G0gBu6nLdhFDPRLc0HdDG,275728463,275728463,0,same_total,275728463
Snow On The Beach (feat. Lana Del Rey),1wtOxkiel43cVs0Yux5Q4h,https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h,519727796,519727796,0,same_total,519727796
Long Live (Taylor's Version),4hqJ4bSlYJOXb6Z4SRmzxs,https://open.spotify.com/track/4hqJ4bSlYJOXb6Z4SRmzxs,219578330,219578330,0,same_total,219578330
Welcome To New York,3nRmDz7qGCvsMS30rGGY0x,https://open.spotify.com/track/3nRmDz7qGCvsMS30rGGY0x,296559840,296559840,0,same_total,296559840
Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz,https://open.spotify.com/track/7I7JbDv63ZJJsSi24DyJrz,339209194,339209194,0,same_total,339209194
I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,https://open.spotify.com/track/43rA71bccXFGD4C8GOpIlN,413666138,413666138,0,same_total,413666138
marjorie,12ntTeqEeTg7GAVpe8Mhpl,https://open.spotify.com/track/12ntTeqEeTg7GAVpe8Mhpl,315498166,315498166,0,same_total,315498166
Crazier,5vyxXfD5gLlyPxGZMEjtmd,https://open.spotify.com/track/5vyxXfD5gLlyPxGZMEjtmd,144991745,144991745,0,same_total,144991745
evermore (feat. Bon Iver),3O5osWf1rSoKMwe6E9ZaXP,https://open.spotify.com/track/3O5osWf1rSoKMwe6E9ZaXP,299902985,299902985,0,same_total,299902985
I Bet You Think About Me (feat. Chris Stapleton) (Taylor's Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL,284380247,284380247,0,same_total,284380247
Nothing New (feat. Phoebe Bridgers) (Taylor's Version) (From The Vault),01K4zKU104LyJ8gMb7227B,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,297751146,297751146,0,same_total,297751146
Out Of The Woods,0qUnBLZ8bJqUNEeQgayL9t,https://open.spotify.com/track/0qUnBLZ8bJqUNEeQgayL9t,365266413,365266413,0,same_total,365266413
